cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,country_match,position_match,combined_score,match_signals,recommended_action
ae0688ac-473c-5dd1-9ef0-30bcdc52c48b,5977a88a-df31-535c-ad67-f2a04b996b1a,sergey kuzhugetovich shoygu,sergey nikolaevich lukin,Russia,ru,50.98,1,1,70.59,name=51; country=['ru']; position_overlap=['council'],REVIEW
c08e00d7-619f-5c03-a74d-b5bbccf23c2c,68d61420-fb10-54bc-bf0e-8e89b34a530c,abd al-aziz bin abdallah al al-shaykh,abdul mohsen abdullah ibrahim al-sharikh,Saudi Arabia,sa,67.53,1,0,70.52,name=68; country=['sa'],REVIEW
dfb1bf8b-462e-5b5b-af13-e9cabab94c98,93dde747-7bcc-53e6-9914-e2c19a78e36f,said chanegriha,said arif,Algeria,dz,66.67,1,0,70.0,name=67; country=['dz'],REVIEW
7231c29d-6a90-5da4-ad8c-700a4ae22616,13293562-fa97-51c6-bc10-41ea355119d1,yahya boukhari,yahya abu hammam,Algeria,dz,66.67,1,0,70.0,name=67; country=['dz'],REVIEW
809533ca-24d9-5104-ad2c-d76ce025869b,029de8b9-4c17-5624-934c-68860318655b,manuel tiago dias,manuel helder vieira dias,Angola,ao,66.67,1,0,70.0,name=67; country=['ao'],REVIEW
1df86c02-309b-5af9-a42c-c435d62a9ae5,c38122b9-dd8d-5ab5-a028-37053ed3970e,nawaf bin muhammad al-maawda,mohammed isa yousif saqar al binali,Bahrain,bh,66.67,1,0,70.0,name=67; country=['bh'],REVIEW
f8dd3b2b-feb3-546e-9f6e-b5d934c80dd5,c38122b9-dd8d-5ab5-a028-37053ed3970e,rashid bin muhammad al-maraj,mohammed isa yousif saqar al binali,Bahrain,bh,66.67,1,0,70.0,name=67; country=['bh'],REVIEW
353eedcc-2ffb-5352-b6af-806348a119eb,e696447d-b6e3-5608-a5c4-ad1ab7ba09b7,muhammad imran,mohammad jahangir alam,Bangladesh,bd,66.67,1,0,70.0,name=67; country=['bd'],REVIEW
a1b12857-2957-5e20-aa15-1d759043a0d1,71bfa5eb-e160-5857-8b2e-d31b2d32a7b1,manol genov,ivan kirov genov,Bulgaria,bg,66.67,1,0,70.0,name=67; country=['bg'],REVIEW
928d4f05-b0ba-5cf1-84d6-44838e4dc4a6,b0bd6edd-7aba-5129-b2a8-42491d1c89c3,min aung hlaing,naing htut aung,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
77a1b374-4f95-5011-b02c-253f96f52088,ff2dc209-d20a-5699-8eef-f56ff6d206f2,nan ni ni aye,aye nu sein,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
1e97b66b-d923-50fc-bd71-ae9942b749e8,71e2c383-be37-5093-847b-bcdc810d2990,tun ohn,tun tun naung,Burma,zm,50.0,1,1,70.0,name=50; country=['zm']; position_overlap=['minister'],REVIEW
1386098f-0895-5384-9544-25cb97ee6d4b,4b492a42-257b-561b-b934-11bd8a89b7b9,myo thant,myo swe win,Burma,zm,50.0,1,1,70.0,name=50; country=['zm']; position_overlap=['minister'],REVIEW
0e3e892e-645b-5404-b7ef-564db69c1653,b344183c-2efd-575a-8a4c-b396d499975c,myo zaw thein,myo thitsar,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
0e3e892e-645b-5404-b7ef-564db69c1653,90e7fe27-046a-533f-8fe2-eb02b6ed6685,myo zaw thein,zaw min tun,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
7761ba11-48e5-505e-9dac-b7014646adda,0c06c08c-fdb0-5d6b-b9ea-66babdd892bb,tun aung,tun tun oo,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
aa75125b-8fc2-59b2-afb9-8c972ba91169,b136d36a-8d22-5b0a-bd5e-52df24ebe4a1,ko ko lwin,ko ko oo,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
40d741c9-456a-5a8c-9a04-618bfaf79267,8c14a324-a725-588f-ab07-0cdb0543a4a6,tin maung swe,khin maung swe,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
a62082bb-02ac-54a1-a89f-a0e1812e97ab,0e6332fc-005f-57c5-9ecb-1c07d255e609,thet khaing win,theint win htet,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
39fa2df2-bd23-592f-829d-992d069a2c67,ad2805d2-ea35-5cb9-b77b-c679abdeddcb,nyunt win swe,thet khaing win,Burma,zm,50.0,1,1,70.0,name=50; country=['zm']; position_overlap=['minister'],REVIEW
39fa2df2-bd23-592f-829d-992d069a2c67,c6fd49b1-958e-5e70-9c4e-1c580057f88b,nyunt win swe,win min soe,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
1e68a075-f6b8-5fef-9e9c-20ba346d9a35,926176d6-00e8-5080-aa66-f97474060e5c,maung myint,khaing moe myint,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
1e68a075-f6b8-5fef-9e9c-20ba346d9a35,a7bdc26f-2a80-5ca0-a37d-5c7f6428f92d,maung myint,ohn mar myint,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
1e68a075-f6b8-5fef-9e9c-20ba346d9a35,e65f016d-2d84-528c-8d47-a6b912910869,maung myint,mahn nyein maung,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
e34a8c44-98dd-5ac0-bc86-3b7b3542af48,793434bf-9695-5b3b-87a0-b017325f19ba,myint kyaing,myo myint oo,Burma,zm,50.0,1,1,70.0,name=50; country=['zm']; position_overlap=['minister'],REVIEW
d6349380-567c-5b96-abf4-ddcd3faa1f5a,e65f016d-2d84-528c-8d47-a6b912910869,khin maung soe,mahn nyein maung,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
36b7bb62-908b-5f34-937f-845bbbbd6f4c,57ce63d0-674a-59b4-b953-b5fd5ef70c7f,aung kyaw hoe,aung moe myint,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
36b7bb62-908b-5f34-937f-845bbbbd6f4c,293d576a-8246-5fe2-98c2-0bff474068cc,aung kyaw hoe,aung soe,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
702b0148-0c9f-5d01-a9c7-f9237ad19685,52c41d60-797a-56a5-8cdf-de48e86413ae,hsan oo,aung naing oo,Burma,zm,50.0,1,1,70.0,name=50; country=['zm']; position_overlap=['minister'],REVIEW
fcbe7822-057e-519f-b81a-33a549658688,e7e0255a-64c0-54c7-ac84-54f2e3f45339,thet thet zin,thet thet aung,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
b05ed206-a84b-5bef-ad39-8bfa03419c61,66d6b25f-29af-5b8e-ac7d-142ad6d3f6f0,tin aung san,htun aung,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
e04d1361-6c5f-5682-9654-45f6127037f1,8c14a324-a725-588f-ab07-0cdb0543a4a6,khin naing oo,khin maung swe,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
4f703139-e0ac-56e7-82d2-3af76b873177,e756b4be-0e85-5af1-8a40-e2a22962665e,kyaw moe tun,kyaw thu myo myint,Burma,zm,66.67,1,0,70.0,name=67; country=['zm'],REVIEW
e59f0f47-31d3-5f4e-9c53-9497d721689e,191b822a-baa9-5dc8-9a34-96e60e1d121c,zheng han,fujing zheng,China,cn,66.67,1,0,70.0,name=67; country=['cn'],REVIEW
b763a905-8245-5ecd-98c7-069313da9814,9598f7e6-3c59-5852-a905-daddac399ea6,guoqing zhang,yu zhang,China,cn,66.67,1,0,70.0,name=67; country=['cn'],REVIEW
130ff18c-d312-545f-a54d-fb8474b63e02,7dee37e3-125e-51fa-b10a-8997aae65fbb,guangha wang,chao wang,China,cn,66.67,1,0,70.0,name=67; country=['cn'],REVIEW
c77eaf8b-8bf0-5454-a07e-4386a07bac25,297ebccb-dc64-58b9-a3af-873a983fa9ca,jun dong,wenbo dong,China,cn,66.67,1,0,70.0,name=67; country=['cn'],REVIEW
31bc6af8-18d2-5a6d-9bd4-d0e4b93151b2,ae883b32-5d9b-535f-b515-80b8dfdc2a93,yixin chen,zhi chen,China,cn,66.67,1,0,70.0,name=67; country=['cn'],REVIEW
a6dfc114-b00a-5fe4-8c48-c584cdf11d8a,f8eb395b-97d0-58ae-954d-27edf2b18dff,xiaodu yang,qi yang,China,cn,66.67,1,0,70.0,name=67; country=['cn'],REVIEW
0d39bb01-068e-53f7-9da1-2b020ccc460d,5afe4181-09e9-5e0a-b379-54a8f89b5428,jun zhang,hongbo zhang,China,cn,66.67,1,0,70.0,name=67; country=['cn'],REVIEW
0d39bb01-068e-53f7-9da1-2b020ccc460d,fe1dd849-f6a1-52b7-98be-2657c5184606,jun zhang,wei zhang,China,cn,66.67,1,0,70.0,name=67; country=['cn'],REVIEW
473e59b9-1af0-5b02-8e2a-f8800f4b65b2,4a0d9ea8-fb45-59f7-baaf-d2545a2507be,daniel rojas,jaime rojas franco,Colombia,co,66.67,1,0,70.0,name=67; country=['co'],REVIEW
71e240eb-741e-57da-994b-2cc7abbc865f,2de51460-70d9-563e-ba09-b47e89a73727,mohsen haji-mirzaei,mohammad ali mirzaei,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
1a8f313c-00cf-566a-a5e5-16a23c87195d,a92b62fc-9bfc-5023-b567-45c7f69f11c3,mohammad-reza aref,reza mohammad amin saberian,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
1a8f313c-00cf-566a-a5e5-16a23c87195d,a8f81007-08b3-5db4-8e8c-f6ba5d8e8a4d,mohammad-reza aref,mohammad asgari,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
1a8f313c-00cf-566a-a5e5-16a23c87195d,2a70a36f-004c-57cf-a2a7-bd5ae56f7a87,mohammad-reza aref,mohammad kazemi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
1a8f313c-00cf-566a-a5e5-16a23c87195d,1fdea508-7df9-526f-92b0-3cad1ac5719d,mohammad-reza aref,reza mohammadi azizabadi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
1a8f313c-00cf-566a-a5e5-16a23c87195d,09a37407-4fad-5e58-8a91-a367926774c7,mohammad-reza aref,mohammad baseri,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
1a8f313c-00cf-566a-a5e5-16a23c87195d,7216e8e2-b480-55a7-8d14-40f8d0e2c42e,mohammad-reza aref,mohammad karami,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
fad6b794-28f0-5b61-92b0-531e88e1121b,10cb3547-278f-513c-835c-464ee597b34a,mohammad-jafar qaempanah,mohammad reza hashemifar,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
afbc78ac-3ed3-583d-a275-3ed539772932,53c3cd18-01a5-5332-9ecc-97aed729b9e4,shahram dabiri,shahram poursafi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
dd9c3037-a953-52b4-a3e2-2e6f5fb936de,d4425fd5-c1c4-5302-8aa3-09b71eb88bdd,hamid pur-mohammadi,mohammad reza mohammadi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
486633c7-d65d-579c-a85e-bd4fb32cc714,467d0b49-1ce0-515a-8412-a55180564489,mohammad eslami,mohammad reza khademi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
304687be-72b5-5f04-8437-e74cf2ccd578,4f5dc1ce-87ae-5719-8c68-4edc9cf1e13c,mohammad-reza salehi-amiri,mohammad sadegh fatehi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
304687be-72b5-5f04-8437-e74cf2ccd578,53151d7d-43e9-5d7f-938b-abce15639918,mohammad-reza salehi-amiri,mohammed reza rezakhah,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
304687be-72b5-5f04-8437-e74cf2ccd578,358953ac-361a-5861-ad92-568c3d08c5d6,mohammad-reza salehi-amiri,mohammad reza moaref jahromi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
304687be-72b5-5f04-8437-e74cf2ccd578,493f8d6f-afeb-52d3-8b68-1ee5416e2afb,mohammad-reza salehi-amiri,reza amiri moghadam,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
9527d76f-4f43-5099-83ad-80e09d382873,527d3fc2-e640-518a-bfaa-251a3442954b,ali-reza kazemi,reza mirzaei,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
3b010830-4c7f-51c8-b05c-d12a854b19eb,53db54cd-4f72-57ec-978d-378520d1417f,mohammad atabak,mohammad hejazi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
3b010830-4c7f-51c8-b05c-d12a854b19eb,2a70a36f-004c-57cf-a2a7-bd5ae56f7a87,mohammad atabak,mohammad kazemi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
3b010830-4c7f-51c8-b05c-d12a854b19eb,438deb7f-5fec-58b9-b069-3129bf6763c4,mohammad atabak,mohammad eskandari,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
3b010830-4c7f-51c8-b05c-d12a854b19eb,15bf4062-305e-527a-a664-fe1beda46e91,mohammad atabak,mohammad abdollahpour,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
