cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,recommended_action
3777f28c-cc12-5522-833c-e388765720ac,8ddb4a78-6116-5192-8cc7-24e0f9d1cfdd,alexander stubb,alexander ostrowsky,Finland,ch,70.59,REVIEW
79b7202f-29eb-5bd1-8287-c47f34d6812b,0364a5c3-e268-50ac-8f3b-c4a90a65b3ab,vincent jeanbrun,vincent nyakarundi,France,rw,70.59,REVIEW
9764f2c9-5165-5c3c-83c4-6f86c3cb763b,8a5efb4a-fd46-5b76-acfa-8ca36154b75a,georgios floridis,georgios georgiou,Greece,cy,70.59,REVIEW
6edb8d16-a351-56c2-ba23-539c0d283047,d69934a9-5fe1-572e-beb8-7fbcafcdbb2b,mohamed irfaan ali,mohamed al-atifi,Guyana,ye,70.59,REVIEW
d093a435-b8ae-5a3d-8ece-841f06b5c057,9c895723-b720-5d02-9f60-10d5b1376fff,juan carlos garcia medina,juan carlos dugarte padron,Honduras,,70.59,REVIEW
d093a435-b8ae-5a3d-8ece-841f06b5c057,c19abbc3-6ad0-5c22-932f-a17d45417d74,juan carlos garcia medina,juan carlos castaneda meza,Honduras,mx,70.59,REVIEW
5d35694f-5e34-5027-b62e-8899e5e4faa2,3e4375bf-fb61-5613-9d2a-d6be35526bcd,abdul kadir karding,abdul baqi bari,Indonesia,,70.59,REVIEW
dd9c3037-a953-52b4-a3e2-2e6f5fb936de,431ee42c-d678-5805-bf06-6f797611ae8e,hamid pur-mohammadi,ehsan mohammadi,Iran,ir,70.59,REVIEW
486633c7-d65d-579c-a85e-bd4fb32cc714,825245de-ceaf-5d11-92ec-cea450b1c272,mohammad eslami,mohammad ali jafari,Iran,,70.59,REVIEW
486633c7-d65d-579c-a85e-bd4fb32cc714,00841ad2-a0a5-5c0d-b995-a69596db994d,mohammad eslami,mohammad jalal maab,Iran,ir,70.59,REVIEW
3b010830-4c7f-51c8-b05c-d12a854b19eb,825245de-ceaf-5d11-92ec-cea450b1c272,mohammad atabak,mohammad ali jafari,Iran,,70.59,REVIEW
3b010830-4c7f-51c8-b05c-d12a854b19eb,00841ad2-a0a5-5c0d-b995-a69596db994d,mohammad atabak,mohammad jalal maab,Iran,ir,70.59,REVIEW
3b010830-4c7f-51c8-b05c-d12a854b19eb,8e698ee8-8c98-5c99-8e87-f159e0344b24,mohammad atabak,mohammad abdulsalam,Iran,ye,70.59,REVIEW
973ee1f6-dc9f-54c1-bf5a-557e166023ac,9a3c2513-da38-56d5-9e38-a9416ac1ca95,ali falih kadhim al-zaydi,nayif salih salim al-qaysi,Iraq,,70.59,REVIEW
ede10d47-1dc0-591b-a561-e286797d055d,929a4ee8-2818-579d-8194-245b03fa041d,muhammad nuri karbuli,muhammad suri,Iraq,,70.59,REVIEW
