cia_id,ofac_id,cia_name,ofac_name,ofac_matched_name,cia_country,ofac_nationality,name_score,country_match,position_match,combined_score,match_signals,recommended_action
1386098f-0895-5384-9544-25cb97ee6d4b,b344183c-2efd-575a-8a4c-b396d499975c,myo thant,myo thitsar,myo thitsar,Burma,zm,70.0,1,0,72.0,name=70; country=['zm'],REVIEW
0e3e892e-645b-5404-b7ef-564db69c1653,9130bd1f-8b7d-5dfd-b715-c25f49028aac,myo zaw thein,zaw min,zaw min,Burma,zm,70.0,1,0,72.0,name=70; country=['zm'],REVIEW
7761ba11-48e5-505e-9dac-b7014646adda,dade11d1-8fbc-585e-81ce-6a84642c8bcd,tun aung,tin myo aung,tin myo aung,Burma,zm,70.0,1,0,72.0,name=70; country=['zm'],REVIEW
9e25c3df-58ca-57ed-a0dd-dba15c63ddbb,b5ffba92-a5b2-5987-9fae-fab4aee53c91,than maung,maung maung kyaw,maung maung kyaw,Burma,zm,70.0,1,0,72.0,name=70; country=['zm'],REVIEW
02c196a0-75e4-5a59-9330-bda79605215b,f7f8ad87-6476-5fca-8537-4987b3b10ef3,charlie than,than than aye,than than aye,Burma,zm,70.0,1,0,72.0,name=70; country=['zm'],REVIEW
b05ed206-a84b-5bef-ad39-8bfa03419c61,66d6b25f-29af-5b8e-ac7d-142ad6d3f6f0,tin aung san,htun aung,tun aung,Burma,zm,70.0,1,0,72.0,name=70; matched_via_alias='tun aung'; country=['zm'],REVIEW
b05ed206-a84b-5bef-ad39-8bfa03419c61,85307220-c044-51d3-94fd-8f1f710a516a,tin aung san,aung min,aung min,Burma,zm,70.0,1,0,72.0,name=70; country=['zm'],REVIEW
c77eaf8b-8bf0-5454-a07e-4386a07bac25,9e45b313-49f1-5357-85f5-15cacd33ea5a,jun dong,jingwei dong,jingwei dong,China,cn,70.0,1,0,72.0,name=70; country=['cn'],REVIEW
5be37c4e-8045-5a7a-b36f-2cf6cae66991,8747b4fd-192c-5301-8c46-155e0851cdbf,hejun yin,kecheng yin,kecheng yin,China,cn,70.0,1,0,72.0,name=70; country=['cn'],REVIEW
6a22787f-016c-5c95-bb89-6685cf3f51e3,1ce50608-2e84-522e-bd49-ae266035c08a,guoying li,genping li,genping li,China,cn,70.0,1,0,72.0,name=70; country=['cn'],REVIEW
70550d12-540d-5250-ab52-5aaee31611e4,2c1574c5-101c-5af1-bf98-7dd9eeb91d1a,yasmine abdel aziz fuad,ali sa'd muhammad mustafa bakri,abd al-aziz al-masri,Egypt,eg,70.0,1,0,72.0,name=70; matched_via_alias='abd al-aziz al-masri'; country=['eg'],REVIEW
1a606687-66cd-5479-baf3-9aa468de5911,999b80bc-9b08-5936-bbfe-89c46d521c29,muhammad herindra,muhammad dandi adhiguna,muhammad dandi adhiguna,Indonesia,id,70.0,1,0,72.0,name=70; country=['id'],REVIEW
dd9c3037-a953-52b4-a3e2-2e6f5fb936de,1bf26214-0cdc-5d0c-b27b-a0871a994f61,hamid pur-mohammadi,ahmad mohammadi zadeh,ahmad mohammadi zadeh,Iran,ir,70.0,1,0,72.0,name=70; country=['ir'],REVIEW
286d8443-aff7-5178-b2a1-75291c9f61ae,8095d760-52b5-5e6e-bdb8-8909c7f7c604,mohammad-reza zafarqandi,mohammad ghannadi maragheh,mohammad qannadi,Iran,ir,70.0,1,0,72.0,name=70; matched_via_alias='mohammad qannadi'; country=['ir'],REVIEW
f09fa64f-3749-5bb9-8eae-47aa0e56fc7c,16b2705a-2f33-506b-96f0-48cb55643a5b,mohamad-reza farzin,hamid reza ghadirian,hamid reza ghadirian,Iran,ir,70.0,1,0,72.0,name=70; country=['ir'],REVIEW
e3e60f1e-c050-597b-aa88-21df024b0c1a,d49cf8f3-9361-5aa7-9c44-47226d831855,mustafa sanad,salim mustafa muhammad al-mansur,salim mansur mustafa,Iraq,iq,70.0,1,0,72.0,name=70; matched_via_alias='salim mansur mustafa'; country=['iq'],REVIEW
e3e60f1e-c050-597b-aa88-21df024b0c1a,717be14a-b41c-5df0-88c7-7339db3a9700,mustafa sanad,mustafa hashim lazim al-behadili,mustafa hashem lazim,Iraq,iq,70.0,1,0,72.0,name=70; matched_via_alias='mustafa hashem lazim'; country=['iq'],REVIEW
e3e60f1e-c050-597b-aa88-21df024b0c1a,c1c88b21-d361-5a44-aa59-da3e928c909f,mustafa sanad,kamal mustafa sultan abdallah al-tikriti,kamal mustafa abdallah,Iraq,iq,70.0,1,0,72.0,name=70; matched_via_alias='kamal mustafa abdallah'; country=['iq'],REVIEW
e3e60f1e-c050-597b-aa88-21df024b0c1a,3ef19ce4-ae94-5146-ad4b-1ca3d1079b26,mustafa sanad,general maki mustafa hamudat,macki hamoudat mustafa,Iraq,iq,70.0,1,0,72.0,name=70; matched_via_alias='macki hamoudat mustafa'; country=['iq'],REVIEW
